slug,title,year,type,poster,image,synopsis,realisateur,production,trailer,imdb,distinctions
dessiner-encore,Dessiner Encore,2026,Théâtre,/images/projects/dessiner-encore.jpg,/images/projects/dessiner-encore-affiche.jpg,"Elle s'appelle Corinne, alias Coco. Le 7 janvier 2015, les attentats de Charlie Hebdo ont bouleversé sa vie en une poignée de minutes. 
Dans cette adaptation théâtrale de la bande dessinée à succès Dessiner encore, œuvre poétique et profondément humaine, Coco revient sur cet instant suspendu, sur l'après, et sur les questions qui la hantent encore : 
Et si elle avait fait quelque chose ? Et si elle avait appelé au secours ? Parce qu'un dessin ne tue pas, Coco nous parle et dessine avec générosité, humour et pudeur. 
Elle nous emmène dans un voyage intérieur d'une rare sensibilité, où se mêlent ses blessures, ses élans de vie et ses plus belles rencontres, humaines et artistiques, au cœur de la rédaction de Charlie Hebdo. 
Trois comédiennes racontent et incarnent en chœur ce personnage lumineux et fragile, donnant corps à son univers onirique. 
Un hommage vibrant à la caricature, à l'art courageux du dessin de presse, et à cette énergie indomptable : celle de créer, de rire et de résister.",Georges VAURAZ,Théâtre Lepic,,https://theatrelepic.com/2025/11/03/dessiner-encore/,
insomniaque,Insomniaques,2023,Série,/images/projects/insomniaque.jpg,,"A la suite d’une série d’insomnies nationale, un couple de trentenaires citadins posent bagages dans une maison de famille secondaire en espérant y trouver le sommeil. 
Elle est auteure, il est ethno logue, ils vont faire l’expérience de se couper des media et des réseaux sociaux, alors que certaines personnes de leur famille font irruption.",Simon DUBREUCQ,La Sève,,https://www.allocine.fr/series/ficheserie_gen_cserie=35150.html,Festival de la Rochelle 2023
le-ballon-de-la-liberte,Le Ballon de la Liberté,2024,Série,/images/projects/le-ballon-de-la-liberte.jpg,,"En 1979, deux familles est-allemandes préparent leur fuite vers l'Ouest en montgolfière. Pendant deux ans, elles affrontent les risques d'arrestation pour réaliser leur projet.",Elisabeth SCHERRER,"TSVP, Planète +",https://www.zed.fr/fr/catalogue/le-ballon-de-la-liberte/screening_room/5185,,
des-milliers-de-chansons,Des Milliers de Chansons,2021,Fiction,/images/projects/des-milliers-de-chansons.jpg,,"Aline vit dans une routine morne entre son appartement dans une cité sensible et le centre logistique où elle emballe des sacs à main, quand un soir un évènement vient perturber son quotidien.",Kevin TE,Femis,,,
ces-mathematiciens,Ces Mathématiciens qui firent plier le Kremlin,2025,Documentaire,/images/projects/ces-mathematiciens.jpg,,"De 1972 à 1975, des mathématiciens regroupés autour de Laurent Schwartz, médaillé Fields français, vont mener campagne à l’Ouest pour faire libérer un confrère ukrainien, Léonid Pliouchtch, accusé de dissidence par le pouvoir soviétique et enfermé en hôpital psychiatrique. 
Le combat mené par le Comité des mathématiciens va non seulement parvenir à faire plier le Kremlin et libérer Pliouchtch, mais va aussi avoir pour conséquence d’obliger le Parti communiste français à prendre ses distances avec Moscou, une étape majeure qui va permettre l’Union de la gauche en France.",Mathieu SCHWARTZ,Arte,,https://www.film-documentaire.fr/4DACTION/w_fiche_film/74626,
the-sleeping-girl,The Sleepless Girl,2019,Fiction,/images/projects/the-sleeping-girl.jpg,,"Chinese filmmaker François Chang studies in Paris. One day, he saw on YouTube a video of a Japanese girl involved in a paranormal event. He decided to look for her in Japan and to record everything with his iPhone.",François CHANG,Femis,,https://www.imdb.com/fr/title/tt7292922/,
nues-culottees,Nues & Culottées,2025,Série ,/images/projects/nues-culottees.jpg,/images/projects/nues-culottees-affiche.jpg,"Repartir de zéro en pleine nature, sans vêtement ni même un sou, pour ensuite réaliser un rêve grâce à l'échange, au troc et à la générosité des personnes rencontrées… 
Zoé et Louise débarquent cet été pour nous partager des voyages remplis de belles rencontres...",Charlène GRAVEL,"Bonne Pioche, France TV",,,
sauver-notre-dame,Sauver Notre-Dame,2020,Documentaire,/images/projects/sauver-notre-dame.jpg,,"En avril 2019, au lendemain de l’incendie qui a ravagé Notre-Dame de Paris, cet emblème du patrimoine mondial menace de s’effondrer. 
Commence alors une véritable course contre la montre pour une centaine d’hommes et de femmes qui vont se battre pendant un an pour sauver la cathédrale célébrée par Victor Hugo. 
Architectes, tailleurs de pierre, charpentiers, grutiers, échafaudeurs, cordistes, archéologues… Ce chantier unique rassemble de rares savoir-faire. 
Qui sont les héros et héroïnes de Notre-Dame qui ont réussi à mener à bien ce défi unique ? Dans un élan et une cohésion rares, ces personnes ont réalisé de nombreuses prouesses techniques et humaines, en un temps record. 
Ce film documentaire a suivi pendant plusieurs mois ces sauveteurs et sauveteuses uniques en leur genre afin de raconter cette aventure à la fois spectaculaire et émouvante. ","Quentin DOMART, Charlène GRAVEL","Gedeon Programmes, France TV",,https://www.film-documentaire.fr/4DACTION/w_fiche_film/59535_0,
albatros-gorfou,Albatros & Gorfou - Une fable australe,2018,Documentaire,/images/projects/albatros-gorfou.jpg,,"Sur les falaises, se joue une curieuse fable de la nature. L'un est le prince des nuées. Il a pour lui la majesté, la totale maîtrise des airs car le ciel est son élément. 
L'autre n'a plus d'ailes et semble bien maladroit. Mais il est capable de nager pendant des mois dans l'océan, son royaume. 
Voisins de cailloux sur les îles Malouines, albatros et gorfous naissent et grandissent ensemble. Mais leurs destins sont aux antipodes.","CharlèneGRAVEL, Remy MARION","Bonne Pioche, France TV",,https://www.imdb.com/fr/title/tt32631795,Prix spécial du Jury - FIFALE
chaos,Après le chaos,2020,Fiction,/images/projects/chaos.jpg,,"Au lendemain de la Seconde Guerre mondiale, c’est le chaos. Les bombardements allemands et alliés ont fait des millions de morts parmi les populations civiles. La plupart des grandes villes sont en ruines, avec des centaines de milliers de sans-abris à reloger. 
Le Havre, Londres, Berlin et Varsovie sont parmi les villes les plus détruites. 
La série documentaire « Après le chaos » raconte comment ces grandes villes d’Europe ont été détruites par les bombardements, puis comment elles se sont reconstruites et réinventées après la guerre. ",Quentin DOMART,"Docland Yard, Planète +",,https://www.imdb.com/fr/title/tt22021126/,
